dataset,score,fraction,success_rate,mean_k,continue_rate,helped_recall,helped_precision,hurt_selected_rate,selected_count
cube_double_dynamic_oracle,latent_mse_k1,0.0,0.72,1.0,0.0,0.0,0.0,0.0,0
cube_double_dynamic_oracle,latent_mse_k1,0.05,0.72,1.12,0.04,0.0,0.0,0.0,2
cube_double_dynamic_oracle,latent_mse_k1,0.1,0.72,1.3,0.1,0.0,0.0,0.0,5
cube_double_dynamic_oracle,latent_mse_k1,0.15,0.72,1.48,0.16,0.0,0.0,0.0,8
cube_double_dynamic_oracle,latent_mse_k1,0.2,0.72,1.6,0.2,0.0,0.0,0.0,10
cube_double_dynamic_oracle,latent_mse_k1,0.3,0.72,1.9,0.3,0.0,0.0,0.0,15
cube_double_dynamic_oracle,latent_mse_k1,0.4,0.7,2.2,0.4,0.0,0.0,1.0,20
cube_double_dynamic_oracle,latent_mse_k1,0.5,0.7,2.5,0.5,0.0,0.0,1.0,25
cube_double_dynamic_oracle,latent_mse_k1,1.0,0.7,4.0,1.0,0.0,0.0,1.0,50
cube_double_dynamic_oracle,latent_mse_improvement_rel,0.0,0.72,1.0,0.0,0.0,0.0,0.0,0
cube_double_dynamic_oracle,latent_mse_improvement_rel,0.05,0.72,1.12,0.04,0.0,0.0,0.0,2
cube_double_dynamic_oracle,latent_mse_improvement_rel,0.1,0.72,1.3,0.1,0.0,0.0,0.0,5
cube_double_dynamic_oracle,latent_mse_improvement_rel,0.15,0.72,1.48,0.16,0.0,0.0,0.0,8
cube_double_dynamic_oracle,latent_mse_improvement_rel,0.2,0.72,1.6,0.2,0.0,0.0,0.0,10
cube_double_dynamic_oracle,latent_mse_improvement_rel,0.3,0.72,1.9,0.3,0.0,0.0,0.0,15
cube_double_dynamic_oracle,latent_mse_improvement_rel,0.4,0.72,2.2,0.4,0.0,0.0,0.0,20
cube_double_dynamic_oracle,latent_mse_improvement_rel,0.5,0.72,2.5,0.5,0.0,0.0,0.0,25
cube_double_dynamic_oracle,latent_mse_improvement_rel,1.0,0.7,4.0,1.0,0.0,0.0,1.0,50
cube_double_dynamic_oracle,residual_mean_k1,0.0,0.72,1.0,0.0,0.0,0.0,0.0,0
cube_double_dynamic_oracle,residual_mean_k1,0.05,0.72,1.12,0.04,0.0,0.0,0.0,2
cube_double_dynamic_oracle,residual_mean_k1,0.1,0.72,1.3,0.1,0.0,0.0,0.0,5
cube_double_dynamic_oracle,residual_mean_k1,0.15,0.72,1.48,0.16,0.0,0.0,0.0,8
cube_double_dynamic_oracle,residual_mean_k1,0.2,0.72,1.6,0.2,0.0,0.0,0.0,10
cube_double_dynamic_oracle,residual_mean_k1,0.3,0.72,1.9,0.3,0.0,0.0,0.0,15
cube_double_dynamic_oracle,residual_mean_k1,0.4,0.72,2.2,0.4,0.0,0.0,0.0,20
cube_double_dynamic_oracle,residual_mean_k1,0.5,0.72,2.5,0.5,0.0,0.0,0.0,25
cube_double_dynamic_oracle,residual_mean_k1,1.0,0.7,4.0,1.0,0.0,0.0,1.0,50
cube_double_dynamic_oracle,goal_pos_dist_mean,0.0,0.72,1.0,0.0,0.0,0.0,0.0,0
cube_double_dynamic_oracle,goal_pos_dist_mean,0.05,0.72,1.12,0.04,0.0,0.0,0.0,2
cube_double_dynamic_oracle,goal_pos_dist_mean,0.1,0.72,1.3,0.1,0.0,0.0,0.0,5
cube_double_dynamic_oracle,goal_pos_dist_mean,0.15,0.72,1.48,0.16,0.0,0.0,0.0,8
cube_double_dynamic_oracle,goal_pos_dist_mean,0.2,0.72,1.6,0.2,0.0,0.0,0.0,10
cube_double_dynamic_oracle,goal_pos_dist_mean,0.3,0.72,1.9,0.3,0.0,0.0,0.0,15
cube_double_dynamic_oracle,goal_pos_dist_mean,0.4,0.7,2.2,0.4,0.0,0.0,1.0,20
cube_double_dynamic_oracle,goal_pos_dist_mean,0.5,0.7,2.5,0.5,0.0,0.0,1.0,25
cube_double_dynamic_oracle,goal_pos_dist_mean,1.0,0.7,4.0,1.0,0.0,0.0,1.0,50
