category,depth,label,mse,n_test
easy_both_success,1,qpos,0.027441641463705556,32
hard_both_fail,1,qpos,0.029604653503293492,13
easy_both_success,2,qpos,0.027669037141092263,32
hard_both_fail,2,qpos,0.02984516757729743,13
easy_both_success,3,qpos,0.02780198792240928,32
hard_both_fail,3,qpos,0.0299868338723803,13
easy_both_success,4,qpos,0.027812959972044554,32
hard_both_fail,4,qpos,0.03000371360091407,13
easy_both_success,1,observation,0.0,32
hard_both_fail,1,observation,0.0,13
easy_both_success,2,observation,0.0,32
hard_both_fail,2,observation,0.0,13
easy_both_success,3,observation,0.0,32
hard_both_fail,3,observation,0.0,13
easy_both_success,4,observation,0.0,32
hard_both_fail,4,observation,0.0,13
easy_both_success,1,block_pos,0.0008922036191225977,32
hard_both_fail,1,block_pos,0.0003527080098748896,13
easy_both_success,2,block_pos,0.0009008477200379868,32
hard_both_fail,2,block_pos,0.00035016553602351,13
easy_both_success,3,block_pos,0.0009038926512257143,32
hard_both_fail,3,block_pos,0.00034885285381575895,13
easy_both_success,4,block_pos,0.0009044374056185387,32
hard_both_fail,4,block_pos,0.00034866081166906197,13
easy_both_success,1,block_pairwise_dist,0.0023761685869318327,32
hard_both_fail,1,block_pairwise_dist,0.0007573301635241437,13
easy_both_success,2,block_pairwise_dist,0.0023843600159311864,32
hard_both_fail,2,block_pairwise_dist,0.0007713465630352044,13
easy_both_success,3,block_pairwise_dist,0.0023975327857936376,32
hard_both_fail,3,block_pairwise_dist,0.0007711859236303249,13
easy_both_success,4,block_pairwise_dist,0.0023993204327541684,32
hard_both_fail,4,block_pairwise_dist,0.0007704811219507427,13
easy_both_success,1,block_quat,0.01934461781497995,32
hard_both_fail,1,block_quat,0.013892669731370468,13
easy_both_success,2,block_quat,0.019327304943959366,32
hard_both_fail,2,block_quat,0.013782363600123169,13
easy_both_success,3,block_quat,0.01934948604058699,32
hard_both_fail,3,block_quat,0.013784981858165362,13
easy_both_success,4,block_quat,0.019352582022519937,32
hard_both_fail,4,block_quat,0.01379061633176077,13
easy_both_success,1,goal_relative_block_pos,0.0,32
hard_both_fail,1,goal_relative_block_pos,0.0,13
easy_both_success,2,goal_relative_block_pos,0.0,32
hard_both_fail,2,goal_relative_block_pos,0.0,13
easy_both_success,3,goal_relative_block_pos,0.0,32
hard_both_fail,3,goal_relative_block_pos,0.0,13
easy_both_success,4,goal_relative_block_pos,0.0,32
hard_both_fail,4,goal_relative_block_pos,0.0,13
