depth,label,mse,n_test,n_train,normalized_mse,r2,target_dim,target_variance
1,qpos,0.028066511608475408,45,105,0.15579698406228684,0.8442030159377132,28,0.18014797768649077
2,qpos,0.028297697044884867,45,105,0.15708029259218767,0.8429197074078123,28,0.18014797768649077
3,qpos,0.028433165641289795,45,105,0.15783227769990107,0.842167722300099,28,0.18014797768649077
4,qpos,0.02844584435371797,45,105,0.15790265713235987,0.8420973428676402,28,0.18014797768649077
1,observation,0.0,45,105,0.0,1.0,37,0.0
2,observation,0.0,45,105,0.0,1.0,37,0.0
3,observation,0.0,45,105,0.0,1.0,37,0.0
4,observation,0.0,45,105,0.0,1.0,37,0.0
1,block_pos,0.0007363493320065931,45,105,0.053912139377839174,0.9460878606221608,6,0.013658321493160272
2,block_pos,0.0007417617557671379,45,105,0.05430841235788692,0.945691587642113,6,0.013658321493160272
3,block_pos,0.0007435478208628383,45,105,0.05443917989741181,0.9455608201025882,6,0.013658321493160272
4,block_pos,0.000743879722922023,45,105,0.05446348025227979,0.9455365197477202,6,0.013658321493160272
1,block_pairwise_dist,0.0019085041535029446,45,105,0.10024606125830228,0.8997539387416977,1,0.019038195910613738
2,block_pairwise_dist,0.0019183783517612363,45,105,0.10076471325162413,0.8992352867483758,1,0.019038195910613738
3,block_pairwise_dist,0.0019276992478353472,45,105,0.10125430250251079,0.8987456974974892,1,0.019038195910613738
4,block_pairwise_dist,0.0019287668540776228,45,105,0.10131037957238065,0.8986896204276194,1,0.019038195910613738
1,block_quat,0.0177696105908261,45,105,0.1003648155028842,0.8996351844971158,8,0.1770501993332061
2,block_quat,0.017725433000184462,45,105,0.10011529536222344,0.8998847046377766,8,0.1770501993332061
3,block_quat,0.01774196261010963,45,105,0.10020865651057242,0.8997913434894276,8,0.1770501993332061
4,block_quat,0.0177457919340784,45,105,0.1002302849751728,0.8997697150248272,8,0.1770501993332061
1,goal_relative_block_pos,0.0,45,105,0.0,1.0,6,0.0
2,goal_relative_block_pos,0.0,45,105,0.0,1.0,6,0.0
3,goal_relative_block_pos,0.0,45,105,0.0,1.0,6,0.0
4,goal_relative_block_pos,0.0,45,105,0.0,1.0,6,0.0
