category,depth,dim,entropy_rank,mean_feature_std,n,participation_rank,top1_var_frac,top5_var_frac,total_variance
all,1,192,38.3800343250437,0.9794521101013213,150,31.578939948701954,0.06223304885460787,0.2567688480342166,187.92262917676217
depth_hurt_k1_success_k4_fail,1,192,1.1566164066433617,0.1774894712254389,3,1.068474964981404,0.9668583109998171,1.0,13.688810787745897
easy_both_success,1,192,30.093456776487812,0.9791027685616736,105,25.085705155633075,0.0788045664441992,0.3064454645434072,189.0608853271152
hard_both_fail,1,192,12.733489185464489,0.9280064076778435,42,11.376424029548605,0.13263007115532938,0.5511864932703607,176.52628864283557
all,2,192,38.38000500202575,0.9796391142205155,150,31.57749109289906,0.06227430441539746,0.25676271551648455,187.99469162373265
depth_hurt_k1_success_k4_fail,2,192,1.1569259262549514,0.17750513982557103,3,1.0686441476461,0.9667789603985182,1.0,13.69052468001777
easy_both_success,2,192,30.094608848050896,0.9792604305468237,105,25.085232036767554,0.07883092234050583,0.30645247197137954,189.1211470104509
hard_both_fail,2,192,12.732292051184398,0.9282490437636156,42,11.37651423377823,0.13259345451236806,0.551103703345833,176.61689211822053
all,3,192,38.37958214833631,0.9796728495634848,150,31.576936044062972,0.06228471827362298,0.25675995625484943,188.00782386065436
depth_hurt_k1_success_k4_fail,3,192,1.1569481920331695,0.17750610536794187,3,1.0686563220619527,0.9667732507634178,1.0,13.690602158007646
easy_both_success,3,192,30.09462265116955,0.9792792537209491,105,25.08515896459228,0.0788335442417134,0.3064546347448614,189.1282696962307
hard_both_fail,3,192,12.731874165136963,0.9283236347654946,42,11.37633506981596,0.13257456607611032,0.5510960370631424,176.64508373793814
all,4,192,38.379455032677804,0.979678759229551,150,31.576771577861926,0.062287252351795636,0.25676029696978286,188.01017161390482
depth_hurt_k1_success_k4_fail,4,192,1.1569500288691492,0.1775062318026327,3,1.0686573264255974,0.9667727797332482,1.0,13.690614445325753
easy_both_success,4,192,30.094636781855723,0.9792809307177738,105,25.085173797365293,0.07883369553873407,0.30645448505885337,189.12889814545645
hard_both_fail,4,192,12.73173074797723,0.9283413025473153,42,11.376157078337604,0.13256931703685496,0.5511064447150374,176.65187405031105
