category,depth,label,mse,n_test
depth_helped_k1_fail_k4_success,1,qpos,0.10357800899675196,5
depth_hurt_k1_success_k4_fail,1,qpos,0.14209089817098103,4
easy_both_success,1,qpos,0.18545038927051669,98
hard_both_fail,1,qpos,0.14133755347464844,28
depth_helped_k1_fail_k4_success,2,qpos,0.10486868540587024,5
depth_hurt_k1_success_k4_fail,2,qpos,0.1440937762549975,4
easy_both_success,2,qpos,0.186255471314679,98
hard_both_fail,2,qpos,0.14176385444057835,28
depth_helped_k1_fail_k4_success,3,qpos,0.1059485869052619,5
depth_hurt_k1_success_k4_fail,3,qpos,0.1436432347057448,4
easy_both_success,3,qpos,0.1862681587336104,98
hard_both_fail,3,qpos,0.14160494123069647,28
depth_helped_k1_fail_k4_success,4,qpos,0.10616523309895029,5
depth_hurt_k1_success_k4_fail,4,qpos,0.14340457319661537,4
easy_both_success,4,qpos,0.18630353407685335,98
hard_both_fail,4,qpos,0.14159078992529103,28
depth_helped_k1_fail_k4_success,1,observation,0.2978054699294008,5
depth_hurt_k1_success_k4_fail,1,observation,0.25509110049490896,4
easy_both_success,1,observation,0.29239910880215475,98
hard_both_fail,1,observation,0.20820918356565124,28
depth_helped_k1_fail_k4_success,2,observation,0.2972428733598108,5
depth_hurt_k1_success_k4_fail,2,observation,0.2576935177276842,4
easy_both_success,2,observation,0.2926915911366613,98
hard_both_fail,2,observation,0.2084952251356196,28
depth_helped_k1_fail_k4_success,3,observation,0.29786853372665467,5
depth_hurt_k1_success_k4_fail,3,observation,0.25747456502071076,4
easy_both_success,3,observation,0.2926668577302838,98
hard_both_fail,3,observation,0.20835454521018248,28
depth_helped_k1_fail_k4_success,4,observation,0.29798497339340874,5
depth_hurt_k1_success_k4_fail,4,observation,0.2573009135458478,4
easy_both_success,4,observation,0.29270850299606116,98
hard_both_fail,4,observation,0.20835154233497405,28
depth_helped_k1_fail_k4_success,1,block_pos,0.00018100573787630566,5
depth_hurt_k1_success_k4_fail,1,block_pos,6.584528247800136e-05,4
easy_both_success,1,block_pos,0.00014230764583886052,98
hard_both_fail,1,block_pos,7.750450928570174e-05,28
depth_helped_k1_fail_k4_success,2,block_pos,0.0001733629615198273,5
depth_hurt_k1_success_k4_fail,2,block_pos,7.136894293204584e-05,4
easy_both_success,2,block_pos,0.00014050523376143856,98
hard_both_fail,2,block_pos,7.425532217291145e-05,28
depth_helped_k1_fail_k4_success,3,block_pos,0.00017175124041712782,5
depth_hurt_k1_success_k4_fail,3,block_pos,7.203307223575067e-05,4
easy_both_success,3,block_pos,0.00013989685058668675,98
hard_both_fail,3,block_pos,7.426039978076966e-05,28
depth_helped_k1_fail_k4_success,4,block_pos,0.0001712816692338261,5
depth_hurt_k1_success_k4_fail,4,block_pos,7.204413261338237e-05,4
easy_both_success,4,block_pos,0.0001397132524757494,98
hard_both_fail,4,block_pos,7.426784854876898e-05,28
depth_helped_k1_fail_k4_success,1,block_quat,0.22239743564074205,5
depth_hurt_k1_success_k4_fail,1,block_quat,0.0788377801662767,4
easy_both_success,1,block_quat,0.1612738381398489,98
hard_both_fail,1,block_quat,0.23262527104648736,28
depth_helped_k1_fail_k4_success,2,block_quat,0.2241646345655023,5
depth_hurt_k1_success_k4_fail,2,block_quat,0.079037972476151,4
easy_both_success,2,block_quat,0.16143483583010393,98
hard_both_fail,2,block_quat,0.2319402485655107,28
depth_helped_k1_fail_k4_success,3,block_quat,0.22497728866993238,5
depth_hurt_k1_success_k4_fail,3,block_quat,0.07930942768809886,4
easy_both_success,3,block_quat,0.16136066532430787,98
hard_both_fail,3,block_quat,0.23137210074601994,28
depth_helped_k1_fail_k4_success,4,block_quat,0.22522431653777608,5
depth_hurt_k1_success_k4_fail,4,block_quat,0.07931354349670734,4
easy_both_success,4,block_quat,0.16136862443305533,98
hard_both_fail,4,block_quat,0.23133756099773667,28
