depth,label,mse,n_test,n_train,normalized_mse,r2,target_dim,target_variance
1,qpos,0.17198402432198867,135,315,0.8078652488264059,0.19213475117359413,21,0.21288701868514784
2,qpos,0.1727640195942524,135,315,0.8115291418955145,0.1884708581044855,21,0.21288701868514784
3,qpos,0.1727669169163156,135,315,0.8115427515654752,0.18845724843452483,21,0.21288701868514784
4,qpos,0.17279061419052588,135,315,0.8116540654180372,0.1883459345819628,21,0.21288701868514784
1,observation,0.27403230780797067,135,315,0.4726859038607494,0.5273140961392506,28,0.5797344612347464
2,observation,0.27436022720666636,135,315,0.47325154109748924,0.5267484589025108,28,0.5797344612347464
3,observation,0.27432977964569666,135,315,0.4731990212577943,0.5268009787422057,28,0.5797344612347464
4,observation,0.2743585555566201,135,315,0.4732486576221086,0.5267513423778913,28,0.5797344612347464
1,block_pos,0.00012803470645556672,135,315,0.008894763370125817,0.9911052366298742,3,0.01439439152317277
2,block_pos,0.00012593298154659128,135,315,0.008748753383834143,0.9912512466161658,3,0.01439439152317277
3,block_pos,0.00012545237809174437,135,315,0.008715365139942541,0.9912846348600575,3,0.01439439152317277
4,block_pos,0.0001253035805823084,135,315,0.008705027953462901,0.991294972046537,3,0.01439439152317277
1,block_quat,0.17589394093241228,135,315,1.0816546211366151,-0.08165462113661515,4,0.16261562378162903
2,block_quat,0.17594011802901185,135,315,1.0819385858352444,-0.08193858583524438,4,0.16261562378162903
3,block_quat,0.17580657908720584,135,315,1.081117392036638,-0.08111739203663793,4,0.16261562378162903
4,block_quat,0.17581446414112414,135,315,1.0811658809440068,-0.08116588094400679,4,0.16261562378162903
