category,depth,label,mse,n_test
depth_helped_k1_fail_k4_success,1,qpos,0.011162700038079579,4
depth_hurt_k1_success_k4_fail,1,qpos,0.06837140883140244,2
easy_both_success,1,qpos,0.045305742653103956,30
hard_both_fail,1,qpos,0.011862715722716789,9
depth_helped_k1_fail_k4_success,2,qpos,0.011223771317154262,4
depth_hurt_k1_success_k4_fail,2,qpos,0.06824763094971419,2
easy_both_success,2,qpos,0.04531061046599075,30
hard_both_fail,2,qpos,0.011809045338485398,9
depth_helped_k1_fail_k4_success,3,qpos,0.011259266506337169,4
depth_hurt_k1_success_k4_fail,3,qpos,0.06819545721953992,2
easy_both_success,3,qpos,0.045316603923176414,30
hard_both_fail,3,qpos,0.011800080568327452,9
depth_helped_k1_fail_k4_success,4,qpos,0.011269581623870865,4
depth_hurt_k1_success_k4_fail,4,qpos,0.06818965974619227,2
easy_both_success,4,qpos,0.04531541337397282,30
hard_both_fail,4,qpos,0.011798917746238279,9
depth_helped_k1_fail_k4_success,1,observation,0.0,4
depth_hurt_k1_success_k4_fail,1,observation,0.0,2
easy_both_success,1,observation,0.0,30
hard_both_fail,1,observation,0.0,9
depth_helped_k1_fail_k4_success,2,observation,0.0,4
depth_hurt_k1_success_k4_fail,2,observation,0.0,2
easy_both_success,2,observation,0.0,30
hard_both_fail,2,observation,0.0,9
depth_helped_k1_fail_k4_success,3,observation,0.0,4
depth_hurt_k1_success_k4_fail,3,observation,0.0,2
easy_both_success,3,observation,0.0,30
hard_both_fail,3,observation,0.0,9
depth_helped_k1_fail_k4_success,4,observation,0.0,4
depth_hurt_k1_success_k4_fail,4,observation,0.0,2
easy_both_success,4,observation,0.0,30
hard_both_fail,4,observation,0.0,9
depth_helped_k1_fail_k4_success,1,block_pos,0.00029684906347108783,4
depth_hurt_k1_success_k4_fail,1,block_pos,0.0029771137712324147,2
easy_both_success,1,block_pos,0.0017904440950409022,30
hard_both_fail,1,block_pos,0.00011387001887452745,9
depth_helped_k1_fail_k4_success,2,block_pos,0.0002957431544821903,4
depth_hurt_k1_success_k4_fail,2,block_pos,0.0029677347593172554,2
easy_both_success,2,block_pos,0.001795693847219816,30
hard_both_fail,2,block_pos,0.00011508803525838988,9
depth_helped_k1_fail_k4_success,3,block_pos,0.0002958788848497026,4
depth_hurt_k1_success_k4_fail,3,block_pos,0.002964876854266837,2
easy_both_success,3,block_pos,0.0017976673897391736,30
hard_both_fail,3,block_pos,0.00011504050791722134,9
depth_helped_k1_fail_k4_success,4,block_pos,0.0002959463806102146,4
