category,depth,dim,entropy_rank,mean_feature_std,n,participation_rank,top1_var_frac,top5_var_frac,total_variance
all,1,192,41.05339919727879,0.993206779763654,150,34.9045163296404,0.051329108953154574,0.22767549139872426,192.75536298513092
depth_helped_k1_fail_k4_success,1,192,5.278447832048568,0.8819068171731997,18,5.008354381090648,0.24145814345065547,0.9875556160256921,173.3835231140799
depth_hurt_k1_success_k4_fail,1,192,1.1580823491539465,0.6424845171864568,6,1.06003230408776,0.9709716722326182,1.0,139.10270814286898
easy_both_success,1,192,28.613368988162087,0.9828828770337411,99,24.616315762171478,0.06549912790744192,0.30417807859809864,190.32271075339142
hard_both_fail,1,192,7.8985784421142915,0.9058878557196745,27,7.39418010844708,0.18794118272817556,0.7340543128584993,174.32692969818316
all,2,192,41.05620479207474,0.9932220801276118,150,34.90579526266631,0.05131985614655706,0.2276609529997804,192.76111547060577
depth_helped_k1_fail_k4_success,2,192,5.279675882737362,0.8818159494776587,18,5.008915464509222,0.24149707348767763,0.9874966745165906,173.3477438930446
depth_hurt_k1_success_k4_fail,2,192,1.1585664516785634,0.6425594824424464,6,1.0602661241376383,0.9708619138259674,0.9999999999999999,139.10599603498213
easy_both_success,2,192,28.615240626535414,0.9829266755687271,99,24.616964916430337,0.06549572599365076,0.3041529279770411,190.33938633325187
hard_both_fail,2,192,7.898613985282159,0.9058940867614517,27,7.394132620283631,0.18794674300436245,0.7340629278890821,174.32947772091075
all,3,192,41.056449814573085,0.9932239841405783,150,34.90592550626454,0.05131927279868517,0.22766018325693443,192.7618489201786
depth_helped_k1_fail_k4_success,3,192,5.279796023974211,0.8817992501725707,18,5.008981267110665,0.24150482061931866,0.9874907442291103,173.34134033481337
depth_hurt_k1_success_k4_fail,3,192,1.1585900928829085,0.6425638041217283,6,1.0602776370321025,0.970856508174697,1.0,139.10665199474744
easy_both_success,3,192,28.61536157074683,0.982933045665062,99,24.617034155869725,0.06549509455526471,0.30414973431273995,190.34188478556007
hard_both_fail,3,192,7.89861425585281,0.9058942903888921,27,7.394132491311891,0.18794655971024105,0.7340635747031814,174.32949250045306
all,4,192,41.05648398102313,0.9932241189070602,150,34.905949153522016,0.05131919809696602,0.22766016190049954,192.76189964169774
depth_helped_k1_fail_k4_success,4,192,5.279809910723307,0.8817963191636355,18,5.00899053575679,0.24150615163538877,0.9874900261404175,173.34024639262284
depth_hurt_k1_success_k4_fail,4,192,1.1585910706002132,0.6425640174480588,6,1.0602781189199153,0.9708562817124283,1.0,139.1067110701635
easy_both_success,4,192,28.61537250189546,0.9829338371559571,99,24.617044244639036,0.06549501537496713,0.3041493084012073,190.34219852894844
hard_both_fail,4,192,7.8986141583637055,0.9058942454412812,27,7.394132636190643,0.1879465179692779,0.7340636484024097,174.3294639636275
