category,depth,label,mse,n_test
depth_helped_k1_fail_k4_success,1,qpos,2.795666903223457,2
depth_hurt_k1_success_k4_fail,1,qpos,0.006524095980652598,2
easy_both_success,1,qpos,3.9579841538440936,39
hard_both_fail,1,qpos,4.68859661869098,2
depth_helped_k1_fail_k4_success,2,qpos,2.7940158849566537,2
depth_hurt_k1_success_k4_fail,2,qpos,0.006521221512720644,2
easy_both_success,2,qpos,3.9575319673921854,39
hard_both_fail,2,qpos,4.688538049482525,2
depth_helped_k1_fail_k4_success,3,qpos,2.7940173842245404,2
depth_hurt_k1_success_k4_fail,3,qpos,0.006521220283209046,2
easy_both_success,3,qpos,3.9575320873359963,39
hard_both_fail,3,qpos,4.6885398028736285,2
depth_helped_k1_fail_k4_success,4,qpos,2.7940173842245404,2
depth_hurt_k1_success_k4_fail,4,qpos,0.006521220283209046,2
easy_both_success,4,qpos,3.9575320873359963,39
hard_both_fail,4,qpos,4.6885398028736285,2
depth_helped_k1_fail_k4_success,1,observation,5.2558066103064265,2
depth_hurt_k1_success_k4_fail,1,observation,4.173500871371971,2
easy_both_success,1,observation,18.136883678846168,39
hard_both_fail,1,observation,15.77723639986584,2
depth_helped_k1_fail_k4_success,2,observation,5.260362616801467,2
depth_hurt_k1_success_k4_fail,2,observation,4.17516382758742,2
easy_both_success,2,observation,18.118194730516937,39
hard_both_fail,2,observation,15.737012553545465,2
depth_helped_k1_fail_k4_success,3,observation,5.2603634523328076,2
depth_hurt_k1_success_k4_fail,3,observation,4.175165230443556,2
easy_both_success,3,observation,18.11819630250278,39
hard_both_fail,3,observation,15.73701951031358,2
depth_helped_k1_fail_k4_success,4,observation,5.2603634523328076,2
depth_hurt_k1_success_k4_fail,4,observation,4.175165230443556,2
easy_both_success,4,observation,18.11819630250278,39
hard_both_fail,4,observation,15.73701951031358,2
