category,depth,dim,entropy_rank,mean_feature_std,n,participation_rank,top1_var_frac,top5_var_frac,total_variance
all,1,192,41.057965924247355,0.980480284513075,150,32.342914696662625,0.0669744658355812,0.26641221290702594,187.99877396043937
depth_helped_k1_fail_k4_success,1,192,2.679798898963937,0.5935264657790994,6,2.244439726187397,0.5827380858155902,1.0,96.5586860943836
depth_hurt_k1_success_k4_fail,1,192,2.542102766509345,0.6367737977695761,9,1.907651074187976,0.695332185561107,0.9983355738961497,105.49089729977914
easy_both_success,1,192,36.838947788890835,0.9832706043015467,123,28.784605913627512,0.0738686671580002,0.2930400387428125,189.6512130310351
hard_both_fail,1,192,7.675040055511614,0.8918459771908349,12,6.429058298951443,0.27386154500149734,0.7765699293792461,179.07945589984868
all,2,192,41.05824001803569,0.98049845275961,150,32.3431540865231,0.06697328184408781,0.2664121375796258,188.0056612147336
depth_helped_k1_fail_k4_success,2,192,2.6798096981792505,0.5935286302237984,6,2.2444482147238936,0.582736115424674,0.9999999999999999,96.55933934656255
depth_hurt_k1_success_k4_fail,2,192,2.5421037905499526,0.6367736137096462,9,1.9076538990106326,0.6953313784491587,0.9983356386405193,105.4908112649738
easy_both_success,2,192,36.83877542398782,0.9832870299371416,123,28.784371767888146,0.07386998673854646,0.2930474898952863,189.65750736609183
hard_both_fail,2,192,7.676089768943481,0.8919098943490056,12,6.4301879677982745,0.2738332830547264,0.7764625187026732,179.10029896823434
all,3,192,41.05824001006315,0.9804984526009187,150,32.34315407770354,0.06697328187585214,0.2664121376991336,188.00566115062134
depth_helped_k1_fail_k4_success,3,192,2.6798096981792505,0.5935286302237984,6,2.2444482147238936,0.582736115424674,0.9999999999999999,96.55933934656255
depth_hurt_k1_success_k4_fail,3,192,2.5421037918741747,0.6367736139091765,9,1.907653900348266,0.6953313780817579,0.9983356386373055,105.4908113396105
easy_both_success,3,192,36.83877541622427,0.983287029882467,123,28.784371761854803,0.07386998671139715,0.2930474900222245,189.6575073489847
hard_both_fail,3,192,7.6760897651639866,0.8919098927519532,12,6.430187958977571,0.27383328418352015,0.7764625182752942,179.1002982104326
all,4,192,41.05824001006315,0.9804984526009187,150,32.34315407770354,0.06697328187585214,0.2664121376991336,188.00566115062134
depth_helped_k1_fail_k4_success,4,192,2.6798096981792505,0.5935286302237984,6,2.2444482147238936,0.582736115424674,0.9999999999999999,96.55933934656255
depth_hurt_k1_success_k4_fail,4,192,2.5421037918741747,0.6367736139091765,9,1.907653900348266,0.6953313780817579,0.9983356386373055,105.4908113396105
easy_both_success,4,192,36.83877541622427,0.983287029882467,123,28.784371761854803,0.07386998671139715,0.2930474900222245,189.6575073489847
hard_both_fail,4,192,7.6760897651639866,0.8919098927519532,12,6.430187958977571,0.27383328418352015,0.7764625182752942,179.1002982104326
